estado,cidade,n_pedidos
PE,sao lourenco da mata,12
CE,carnaubal,2
GO,serranopolis,3
MG,monte siao,20
MG,pratapolis,1
MG,santa juliana,9
SP,teodoro sampaio,12
RN,messias targino,1
PR,loanda,13
MG,guarani,7
MG,almenara,14
RS,santa rosa,33
RJ,guapimirim,23
CE,crato,19
SP,cachoeira paulista,25
MG,januaria,22
GO,itaberai,6
MG,varzea da palma,11
PB,uirauna,1
ES,pedro canario,5
RS,horizontina,7
SP,tarabai,5
MG,raposos,11
MG,piumhii,28
PE,brejo da madre de deus,4
MG,santo hipolito,1
PR,alexandra,1
BA,bom jesus da lapa,9
RS,palmitinho,5
RJ,carmo,13
MG,taiobeiras,13
SP,morro agudo,10
GO,portelandia,2
MG,fervedouro,8
BA,jucurucu,2
CE,quixada,12
MG,sapucaia,1
BA,abaira,2
PR,quitandinha,2
AL,tanque d'arca,2
PB,bayeux,7
SC,sombrio,11
BA,arraial d ajuda,1
MA,lago verde,1
RN,macaiba,5
PR,inacio martins,5
SP,mococa,34
MG,nova era,15
GO,padre bernardo,4
BA,varzea nova,1
CE,itaitinga,4
SP,pilar do sul,12
MG,durande,2
SP,guarei,5
SP,bananal,6
PR,arapongas,35
GO,trindade,24
PE,nossa senhora do o,2
RS,cangucu,15
BA,itamaraju,12
BA,aramari,2
SP,vera cruz,10
MT,campo verde,10
RS,tapejara,9
PR,carlopolis,6
SC,macieira,1
ES,afonso claudio,11
PR,piraquara,14
MA,sucupira do norte,2
MG,sao goncalo do abaete,2
MG,perpetuo socorro,2
CE,sobral,36
MA,sao bento,2
SP,herculandia,3
PB,picui,2
PE,sanharo,3
RS,pinheiro machado,5
PR,tamarana,2
ES,montanha,10
GO,piracanjuba,10
SC,belmonte,1
BA,camamu,9
MG,resplendor,10
PA,marituba,15
BA,mata de sao joao,12
MA,timon,15
PE,taquaritinga do norte,7
SC,santo amaro da imperatriz,12
RS,sao borja,18
MG,boa esperanca,11
ES,rio novo do sul,6
RS,venancio aires,26
PR,itapejara d'oeste,6
SP,bofete,6
RJ,goitacazes,11
MG,romaria,2
RS,guapore,18
RS,guarani das missoes,2
BA,correntina,2
SE,tomar do geru,2
RS,encruzilhada do sul,8
MS,sidrolandia,11
MG,delfinopolis,3
PR,ivaipora,7
TO,araguaina,41
RS,sertao,3
RJ,miracema,19
AL,pau d'arco,1
BA,ipira,8
RO,ji-parana,17
RS,tres passos,11
PA,floresta do araguaia,1
MG,belo oriente,5
PB,agua branca,2
SC,guabiruba,5
GO,barro alto,1
PA,santa maria do para,2
SP,santa maria da serra,2
AL,teotonio vilela,8
MS,ponta pora,18
MG,ibiracatu,1
CE,altaneira,2
ES,dores do rio preto,4
MG,igarape,11
BA,sobradinho,5
RS,getulio vargas,8
SP,taguai,10
SC,porto uniao,14
SP,nova europa,8
CE,morrinhos,4
MA,barreirinhas,4
MG,bom sucesso,4
RS,barros cassal,3
GO,bela vista de goias,7
RS,imigrante,3
MG,vargem grande do rio pardo,1
SP,dourado,8
SP,estiva gerbi,7
MG,rio casca,5
SP,iacanga,6
BA,jeremoabo,6
PR,bocaiuva do sul,2
PB,jerico,1
RJ,california da barra,6
RS,vacaria,23
RJ,boa ventura,1
GO,campo alegre de goias,2
CE,senador pompeu,4
BA,uibai,4
PE,camutanga,3
RS,arroio dos ratos,9
GO,acreuna,7
MG,rio manso,5
SP,apiai,6
GO,inhumas,16
MG,carneirinho,3
SP,urupes,10
CE,taua,10
MA,alto alegre do pindare,1
BA,santo amaro,10
MG,divino das laranjeiras,1
RJ,bom jardim,14
SP,cananeia,8
PB,sume,3
MG,jacinto,2
BA,sao sebastiao do passe,5
SC,guaramirim,13
GO,neropolis,7
MA,pastos bons,2
CE,oros,2
SP,catigua,6
PR,balsa nova,1
ES,apiaca,6
SC,dona emma,1
MG,palma,4
PR,cambara,10
GO,cachoeira alta,6
PA,tucurui,17
SP,alvares machado,8
RS,encantado,11
RS,palmares do sul,5
SC,sao joaquim,9
RJ,trajano de moraes,8
BA,piritiba,6
SP,piratininga,9
MG,paraguacu,13
RN,currais novos,8
MA,campestre do maranhao,2
MG,barao de cocais,18
SC,santa cruz do timbo,1
BA,buerarema,4
CE,tabuleiro do norte,1
RS,charrua,2
ES,muqui,4
PR,renascenca,4
MG,teixeiras,7
RJ,natividade,15
RN,sao goncalo do amarante,7
SP,piedade,23
MG,rio novo,4
RS,veranopolis,18
RS,lagoa vermelha,14
PI,simplicio mendes,1
MG,icarai de minas,2
MG,dores do indaia,7
SC,rio do campo,4
PE,santo antonio das queimadas,1
PR,palmeirinha,2
RS,porto xavier,5
MG,aracuai,9
PR,sao sebastiao da amoreira,1
MG,piranguinho,9
SC,cacador,40
SC,arroio trinta,1
GO,nazario,2
RS,toropi,3
GO,quirinopolis,14
BA,itirucu,3
SP,torrinha,6
PE,igarassu,13
SP,agisse,1
SC,guaruja do sul,4
ES,santa teresa,10
RS,sao martinho,1
PR,astorga,7
TO,almas,1
MG,botelhos,8
CE,horizonte,5
RS,nova prata,16
SC,curitibanos,21
PR,xambre,2
BA,valenca,35
RS,cacapava do sul,5
PR,ceu azul,7
SP,novo horizonte,17
RJ,italva,14
RS,guaiba,31
PR,colorado,6
SC,icara,21
RS,minas do leao,1
SP,caconde,10
GO,goianesia,18
SP,paranapanema,11
RS,selbach,1
PE,santa cruz do capibaribe,13
PR,lobato,3
MG,madre de deus de minas,3
SC,pouso redondo,3
SP,buritizal,2
RJ,iguaba grande,19
PR,nova fatima,4
SC,botuvera,2
TO,miranorte,2
GO,fazenda nova,4
BA,vera cruz,7
MG,conceicao da ibitipoca,1
GO,goiatuba,10
BA,teodoro sampaio,1
RJ,paraty,19
SP,sales oliveira,6
SP,rubiacea,2
SP,ibitinga,22
PE,condado,4
BA,candido sales,3
RN,galinhos,1
PR,fazenda rio grande,29
SP,embu,11
SP,tupi paulista,6
MT,comodoro,7
SP,parisi,1
BA,brotas de macaubas,1
ES,ecoporanga,8
PI,sao raimundo nonato,7
MG,nanuque,25
MG,sacramento,13
MG,lagoa grande,4
MT,alta floresta,12
RN,jucurutu,4
GO,rianapolis,4
SC,tres barras,5
BA,cansancao,7
MG,alto jequitiba,4
MT,sao jose dos quatro marcos,2
PR,itambaraca,2
SP,paraiso,5
SC,garuva,5
MG,brumadinho,26
PR,lapa,15
RS,teutonia,14
SP,brauna,5
RS,santa vitoria do palmar,12
PA,sao miguel do guama,5
PI,itaueira,2
PR,santa isabel do ivai,3
SP,ilha solteira,24
SP,aracoiaba da serra,11
SP,sao jose do barreiro,3
SC,ascurra,4
PI,sao miguel do tapuio,3
MG,orizania,1
SP,pirapora do bom jesus,16
PE,santa filomena,1
PR,cianorte,39
RN,portalegre,2
MG,pedra do indaia,1
SC,sao carlos,5
SE,itabaiana,16
PR,sao jorge d'oeste,1
BA,monte gordo,2
GO,ipiranga de goias,1
SC,faxinal dos guedes,11
SP,salto de pirapora,13
PE,panelas,2
MG,itinga,3
PR,espigao alto do iguacu,2
MG,carmo do cajuru,10
SC,sao martinho,2
RN,martins,2
PR,rio branco do sul,6
ES,sao gabriel da palha,14
SP,guaraci,2
CE,sucesso,3
BA,medeiros neto,7
SP,juquia,10
MG,francisco badaro,3
PB,areial,1
PE,cortes,2
RS,salto do jacui,4
MG,baependi,8
MG,ipanema,7
PE,venturosa,2
PA,redencao,13
CE,pacatuba,5
SP,clementina,4
MG,presidente olegario,6
RJ,sao francisco de itabapoana,15
GO,planaltina,10
RJ,sao fidelis,23
BA,itape,1
MG,itueta,2
BA,planaltino,1
RS,pontao,1
SP,santa rita do passa quatro,18
PR,mambore,8
GO,orizona,6
GO,matrincha,2
PI,paulistana,3
MT,nova bandeirantes,4
PR,alto sao joao,1
SP,cajati,16
MS,bodoquena,2
MG,bambui,18
PA,igarape-miri,1
MS,alcinopolis,6
PB,pedra branca,1
MT,chapada dos guimaraes,4
RS,estacao,5
TO,guarai,4
GO,arenopolis,1
BA,tapiramuta,2
AM,coari,1
GO,cristalina,8
RS,sapucaia do sul,40
SC,ibirama,13
MG,divinolandia de minas,5
MG,janauba,17
MA,porto franco,2
BA,maracas,5
PR,cruzeiro do oeste,7
MG,passa quatro,10
RS,arroio do meio,10
SC,balneario arroio do silva,4
CE,quixelo,2
SP,osvaldo cruz,16
MG,araujos,6
SC,nossa senhora de caravaggio,2
MS,miranda,4
SP,populina,1
BA,nova vicosa,1
PR,diamante do norte,5
SE,sao miguel do aleixo,1
BA,morro do chapeu,7
RS,ibarama,1
SP,jacupiranga,5
SE,santo amaro das brotas,1
BA,ubaira,6
PA,curuca,3
RJ,tocos,2
ES,itapemirim,4
MG,medeiros,2
PE,gameleira,4
MT,castanheira,3
RS,ipe,2
ES,viana,21
BA,coaraci,4
MG,merces,4
BA,uaua,4
MS,rio brilhante,11
BA,mucuge,1
RO,cacoal,13
MT,guaranta do norte,5
MG,raul soares,12
MG,florestal,3
MG,cocais,1
CE,camocim,8
PR,kalore,2
SC,imbituba,34
SP,bilac,9
MA,matoes,1
RS,chapada,4
PE,lagoa dos gatos,3
RJ,itatiaia,18
PB,pedras de fogo,2
SE,japoata,1
PR,sao mateus do sul,15
MG,buritis,14
PR,santa fe,5
PB,mari,3
MG,careacu,2
MG,rubelita,1
SP,mirandopolis,13
MG,pocrane,3
MT,campo novo do parecis,16
PR,mandaguacu,5
RS,ivoti,13
MA,sao bernardo,3
GO,mozarlandia,7
MG,papagaios,4
BA,conceicao do coite,9
PR,mandirituba,2
SP,colombia,5
SP,brodowski,10
GO,crixas,8
PR,ubirata,7
BA,serra dourada,2
GO,rubiataba,7
MT,campos de julio,6
GO,paranaiguara,3
SP,sao miguel arcanjo,13
SP,sabino,3
MG,santa rita do itueto,1
SP,guara,8
MG,sao gotardo,20
PE,garanhuns,31
MG,itaobim,6
SE,barra dos coqueiros,3
ES,agua doce do norte,4
RS,jacuizinho,1
PA,medicilandia,1
MG,liberdade,3
SP,silveiras,3
SE,umbauba,3
SP,sao sebastiao da grama,4
MG,maravilhas,4
BA,queimadas,4
CE,russas,9
ES,conceicao do castelo,5
PB,cajazeiras,12
SP,nazare paulista,7
PR,nossa senhora das gracas,2
RS,capitao,1
PE,carpina,10
PE,ibimirim,3
CE,apuiares,2
SP,lavinia,4
PR,janiopolis,3
SP,sao pedro do turvo,2
CE,jardim,2
SP,itapolis,28
MG,sao pedro da uniao,3
SP,analandia,4
RS,pedras altas,1
PR,iguaracu,2
BA,macaubas,9
RS,cristal,3
CE,marco,3
BA,teofilandia,3
MG,perdigao,7
SC,paraiso,1
PR,mallet,6
RO,urupa,3
PI,marcos parente,1
RJ,corrego do ouro,1
RS,girua,10
MG,carrancas,3
GO,santa fe de goias,4
PR,lunardelli,2
SC,coronel freitas,1
PE,feira nova,5
SP,palestina,10
GO,niquelandia,14
BA,una,5
ES,venda nova do imigrante,15
PE,aracoiaba,2
SP,holambra,24
GO,bom jesus,8
PR,pien,4
RS,tres coroas,6
SP,aracariguama,10
PR,japura,5
GO,santa helena de goias,9
RJ,tangua,6
PR,santa izabel do oeste,2
AL,marechal deodoro,1
AM,itacoatiara,1
RS,vale real,3
GO,sanclerlandia,4
SP,santa cruz do rio pardo,35
RJ,paty do alferes,13
PB,arara,1
MG,ponto dos volantes,2
CE,ipueiras,3
MA,coroata,9
RJ,santa maria madalena,7
BA,coribe,8
MG,ibiraci,4
CE,sao benedito,4
MG,sao goncalo do rio abaixo,6
PE,machados,1
SP,iepe,5
MG,bom repouso,4
SP,iacri,2
PR,santa mariana,4
PA,breves,1
AL,batalha,3
PR,turvo,2
MG,arceburgo,7
PR,abatia,3
CE,monsenhor tabosa,3
MG,ferros,2
PR,assai,6
BA,piripa,2
PE,cupira,1
RS,sertao santana,1
MT,tangara da serra,24
RO,espigao do oeste,6
SP,iracemapolis,18
SP,jacare,8
MG,prudente de morais,4
BA,gandu,4
RS,monte bonito,1
GO,formoso,1
BA,itapitanga,3
BA,mucuri,7
PE,lagoa do ouro,2
MA,paraibano,3
SC,itapiranga,12
SP,ariranha,5
RS,santo antonio da patrulha,17
PE,joaquim nabuco,4
PR,ipiranga,3
PE,camocim de sao felix,2
MT,aripuana,8
SP,valparaiso,8
RJ,visconde de maua,3
MA,sao mateus do maranhao,3
MG,brasilia de minas,9
RS,santo antonio do planalto,1
MA,urbano santos,5
BA,caturama,2
CE,tiangua,9
GO,mara rosa,2
MG,carmo da mata,6
RS,cidreira,5
PE,parnamirim,4
RS,bom principio,6
RJ,sao sebastiao do alto,4
MG,ubaporanga,3
GO,minacu,11
SC,catanduvas,6
PR,manfrinopolis,1
SP,jaborandi,3
MG,conceicao do rio verde,5
PA,braganca,9
RS,tiradentes do sul,1
MA,mata roma,2
SP,irapua,4
MG,cambuquira,5
SP,rosana,4
MG,inhapim,7
MG,pompeu,11
MG,ataleia,3
SP,capela do alto,3
SP,echapora,2
SE,capela,3
GO,jaupaci,1
MG,fruta de leite,2
GO,teresina de goias,1
SC,palmeira,3
BA,formosa do rio preto,3
MG,aiuruoca,4
SP,balsamo,6
PB,montadas,1
MG,urucania,1
SP,pompeia,17
SC,ipora do oeste,6
MG,mateus leme,9
GO,itapaci,4
SC,major vieira,3
PR,ribeirao do pinhal,5
CE,santa quiteria,5
PE,saloa,3
RS,vera cruz,4
SC,irineopolis,4
MS,deodapolis,2
SP,urania,4
SC,rio negrinho,13
PR,borrazopolis,2
RN,pedra preta,1
TO,taguatinga,3
PE,salgueiro,17
PI,picos,19
SP,estrela do norte,3
MG,monte verde,3
MG,formoso,2
PR,salgado filho,3
BA,riachao do jacuipe,5
PR,teixeira soares,2
SP,bady bassitt,7
RS,balneario pinhal,8
PA,cameta,4
RS,barra do ribeiro,5
SC,herval d'oeste,9
PE,jatoba,4
ES,alegre,17
SP,arealva,4
PR,terra rica,7
TO,araguatins,5
MG,iturama,15
SP,santo antonio de posse,20
SC,ibiam,4
BA,serra do ramalho,4
PR,marialva,16
ES,itaguacu,7
BA,presidente tancredo neves,4
MG,canaa,1
MG,corinto,11
MA,itapecuru mirim,4
PR,marmeleiro,7
MG,carangola,27
RS,agua santa,2
MG,cachoeira de minas,7
GO,goias,8
PE,afogados da ingazeira,8
SP,tabatinga,5
RN,parelhas,4
MT,alto boa vista,5
ES,joao neiva,8
SP,panorama,5
MG,santa maria de itabira,4
SP,general salgado,7
RS,mostardas,11
MT,confresa,7
DF,ceilandia,1
SP,porangaba,2
PR,arapoti,9
PR,imbau,2
TO,colmeia,2
RS,rio dos indios,1
BA,catu,10
MT,nova mutum,5
PA,sao felix do xingu,8
RN,sao miguel,4
PR,vera cruz do oeste,3
GO,caiaponia,4
CE,amanari,1
AL,passo de camaragibe,1
SP,canitar,2
SP,angatuba,8
BA,utinga,5
MT,tabapora,2
BA,jussiape,1
MG,pirapetinga,8
RS,sao jose do norte,7
RS,agudo,1
RS,sao francisco de paula,5
BA,potiragua,7
SC,pomerode,9
MG,piumhi,3
MG,sapucai-mirim,4
PR,morretes,4
MA,bom jesus das selvas,2
BA,capim grosso,5
BA,barro alto,2
AP,porto grande,1
MT,juruena,3
SE,pinhao,1
MA,presidente medici,1
BA,rio do antonio,2
SC,sao jose do cerrito,3
PA,sao sebastiao da boa vista,2
TO,paraiso do tocantins,10
SP,campina do monte alegre,2
RS,sao marcos,9
PR,wenceslau braz,2
SP,espirito santo do turvo,2
RJ,governador portela,4
MG,caldas,5
GO,joviania,5
MA,bacuri,3
RS,segredo,1
RJ,comendador levy gasparian,7
PE,sao jose da coroa grande,2
MG,campestre,3
SP,adolfo,5
RO,extrema,4
MG,baldim,2
PR,matelandia,2
RS,panambi,17
BA,morro de sao paulo,1
BA,dario meira,2
SP,cosmorama,6
RS,morro reuter,3
PR,manoel ribas,4
RS,marques de souza,1
AL,paripueira,1
PB,santa rita,7
MG,campo alegre de minas,1
PR,perola independente,1
SP,terra roxa,3
SP,ipigua,2
RN,frutuoso gomes,1
PR,engenheiro beltrao,2
SE,cristinapolis,1
SP,rechan,2
MG,conceicao dos ouros,4
MG,mario campos,4
CE,lavras da mangabeira,2
SP,jose bonifacio,12
MG,goiabeira,2
SC,urubici,3
MT,porto esperidiao,2
SC,saudades,4
RJ,sao jose do turvo,3
GO,novo planalto,1
MG,lima duarte,6
ES,marilandia,8
BA,mansidao,1
MG,monte azul,5
MG,matozinhos,12
RS,cerro largo,7
MG,araponga,2
SP,parapua,8
RS,ilopolis,3
GO,maurilandia,4
MG,sao jose da barra,6
SP,martinopolis,8
MG,piedade dos gerais,3
MG,angustura,1
CE,itapiuna,2
MG,grao mogol,3
BA,fatima,2
GO,ipameri,13
MG,pouso alto,3
RJ,parati,13
PE,inaja,2
MG,arinos,8
PR,sertanopolis,4
RJ,silva jardim,4
GO,campos verdes,1
MG,mata verde,6
PR,peabiru,5
CE,ibicuitinga,1
BA,ibicoara,3
PR,andira,11
BA,rio de contas,3
PE,bezerros,11
RS,soledade,5
RS,ajuricaba,2
PA,sao domingos do araguaia,1
MT,nova monte verde,3
PA,novo progresso,5
TO,pium,1
BA,bom jesus da serra,2
MA,joao lisboa,5
MA,sao joao do paraiso,1
RS,barao de cotegipe,2
RJ,sao joao do paraiso,1
PB,sousa,7
CE,granja,5
PR,rondon,2
PR,boa vista da aparecida,4
RS,barracao,2
PR,bom jesus do sul,1
SP,guaicara,8
RS,imbe,13
MS,bonito,8
PR,guairaca,1
SC,rio fortuna,3
MG,capinopolis,11
BA,castro alves,2
RS,planalto,3
PR,guaraniacu,5
SP,orindiuva,5
SP,paranapua,2
BA,madre de deus,7
SP,monte aprazivel,10
BA,lamarao,1
AL,delmiro gouveia,4
RJ,cambuci,8
GO,campos belos,7
PR,vere,3
PR,guaratuba,9
MT,canarana,10
AL,matriz de camaragibe,1
BA,tucano,8
SP,anhumas,1
GO,itapuranga,7
RN,apodi,3
PE,floresta,6
RS,jaguarao,8
CE,caninde,6
AL,rio largo,6
MG,riachinho,2
PR,sao miguel do iguacu,10
GO,sao joao da parauna,1
PI,piripiri,7
SC,balneario rincao,3
PB,areia,2
BA,arraial d'ajuda,8
SP,sao pedro,12
SP,serra azul,1
PR,paulo frontin,5
MA,tutoia,2
GO,pires do rio,12
MS,bandeirantes,1
PA,dom eliseu,5
CE,deputado irapuan pinheiro,3
MG,santa maria do salto,1
MG,itaguara,2
PR,sao joao do triunfo,3
MS,maracaju,13
AP,oiapoque,1
RS,rolante,10
PR,contenda,1
DF,santa maria,1
MG,areado,7
SP,ipaussu,7
PR,quinta do sol,3
BA,ibiassuce,2
BA,remanso,5
SC,grao para,3
PR,salto do lontra,4
SP,junqueiropolis,15
MS,costa rica,12
MG,bocaiuva,13
PB,queimadas,5
SP,arapei,2
BA,cicero dantas,10
SP,rio das pedras,11
SP,regente feijo,10
MG,dom joaquim,2
BA,campo formoso,10
RJ,arrozal,3
MS,aparecida do taboado,7
MG,conceicao das alagoas,3
CE,mauriti,1
RS,tres arroios,3
RJ,mussurepe,1
RJ,engenheiro paulo de frontin,6
CE,boa viagem,3
MG,soledade de minas,6
SP,macatuba,12
SP,cafelandia,8
RS,caibate,2
MS,sonora,2
PE,abreu e lima,11
RN,sao miguel do gostoso,2
RS,almirante tamandare do sul,1
BA,canavieiras,6
PR,urai,3
SP,avanhandava,7
PR,barbosa ferraz,3
PA,oeiras do para,2
PA,santa barbara do para,1
PR,terra boa,4
CE,itapaje,6
RS,pejucara,4
RJ,conservatoria,4
SC,gravatal,6
SP,florinia,1
MA,barra do corda,7
PR,coronel domingos soares,1
RS,dom feliciano,5
PA,placas,2
PE,ipubi,3
PR,porecatu,10
MA,mirinzal,3
SP,aluminio,13
SP,pedregulho,2
MT,vila bela da santissima trindade,1
MG,senhora de oliveira,2
MA,rosario,1
MG,pequi,1
PR,iguatu,1
SP,marinopolis,2
ES,santa leopoldina,1
MG,santo antonio do jacinto,8
PE,santa cruz,2
BA,ibiajara,1
MG,minas novas,4
MG,itau de minas,5
SP,cedral,6
MS,nova andradina,11
PE,belo jardim,12
SP,vista alegre do alto,3
SP,bernardino de campos,4
MG,alvarenga,2
SC,corupa,4
MG,santo antonio do grama,2
MG,sao domingos das dores,2
MG,bonito de minas,1
SP,guapiacu,6
SP,riversul,1
BA,salinas da margarida,1
MG,bom jardim de minas,8
MG,buenopolis,5
PA,sao joao de pirabas,2
SC,passo de torres,7
AL,coruripe,3
MT,querencia,10
RN,jose da penha,1
MG,candeias,10
SC,jacinto machado,4
RJ,miguel pereira,28
MG,piranga,4
AL,santana do mundau,3
SE,itabaianinha,2
SP,cabralia paulista,4
MG,pedra azul,5
SP,buritama,9
PR,moreira sales,3
PR,pinhao,8
SC,meleiro,3
SP,santa cruz da conceicao,4
RN,jandaira,1
RJ,boa esperanca,1
SE,propria,4
RN,alexandria,2
SP,iguape,14
PB,rio tinto,2
SC,morro da fumaca,7
RN,ceara-mirim,2
SP,aguas da prata,10
MG,carmo do paranaiba,16
CE,itapage,1
PR,santa tereza do oeste,3
ES,ibiracu,1
BA,cruz das almas,18
RS,vale do sol,1
MA,sao francisco do brejao,1
PI,urucui,4
MG,bicas,7
SP,aguas de santa barbara,3
GO,piranhas,4
PR,saudade do iguacu,4
SE,aquidaba,1
MG,campos gerais,5
PR,sao joao,11
BA,serrinha,15
PA,abaetetuba,11
GO,guapo,6
RS,tuparendi,2
PR,capanema,9
MG,patrocinio do muriae,2
RJ,macuco,1
MG,sao goncalo do rio preto,3
PR,godoy moreira,1
RN,santa cruz,4
RN,nova cruz,3
MS,anastacio,2
GO,aragarcas,4
SP,cerqueira cesar,18
GO,sao luis de montes belos,8
SP,narandiba,2
SE,nossa senhora do socorro,14
ES,pinheiros,8
GO,sao patricio,1
RJ,pinheiral,14
PI,lagoa do piaui,1
MG,bom jesus do amparo,1
CE,alto santo,3
MG,iapu,4
RO,nova brasilandia d'oeste,2
PE,tracunhaem,2
MG,silvianopolis,3
MG,ibia,9
SP,maracai,8
MG,santa rita de minas,3
SP,indiapora,3
SP,cabreuva,6
GO,indiara,4
BA,conde,2
PA,rondon do para,9
SP,ouro verde,3
SP,chavantes,12
SP,guariba,14
PR,guaira,7
MS,guia lopes da laguna,1
SC,monte carlo,3
TO,couto de magalhaes,2
RN,itau,2
PA,ipixuna do para,2
GO,ouvidor,1
PB,santo andre,1
SP,eldorado,6
SC,paulo lopes,2
SC,forquilhinha,13
SP,roseira,5
PI,esperantina,4
CE,antonina do norte,1
RS,mato leitao,2
AC,xapuri,2
PE,passira,1
SP,presidente alves,2
MG,mato verde,3
SP,tapinas,1
RS,cerro grande,1
PR,paraiso do norte,3
BA,araci,3
SP,elisiario,1
MG,presidente kubitschek,2
CE,acarau,8
TO,lagoa da confusao,5
PR,capitao leonidas marques,5
SP,salmourao,2
BA,itabatan,2
MT,porto estrela,1
SC,alfredo wagner,2
BA,barra,2
MG,ervalia,7
MS,bataypora,2
SP,manduri,3
PR,quatigua,5
SP,gabriel monteiro,1
MG,gouveia,4
SP,arandu,4
TO,goianorte,2
SP,murutinga do sul,2
MG,dionisio,2
RS,igrejinha,17
SC,ita,3
MT,cotriguacu,2
BA,campo alegre de lourdes,1
SC,jabora,2
MT,nova canaa do norte,3
PR,pontal do parana,8
PR,congonhinhas,2
PA,benevides,2
BA,itamari,3
RS,fontoura xavier,1
BA,posto da mata,4
ES,presidente kennedy,2
RN,lagoa nova,2
RS,fazenda vilanova,2
AL,ibateguara,2
MA,arame,1
SC,guaraciaba,1
SP,engenheiro balduino,1
PA,bonito,2
PR,maripa,3
SP,estrela d oeste,1
SC,laurentino,5
PR,florida,1
MG,cabo verde,3
SC,canelinha,4
MG,sao goncalo do para,3
BA,rodelas,3
ES,bom jesus do norte,4
SP,cordeiropolis,16
TO,pequizeiro,1
PE,quixada,1
MG,rio pomba,6
MS,fatima do sul,4
SC,arvoredo,1
AL,santa luzia do norte,1
GO,firminopolis,7
ES,sao jose do calcado,6
MT,juscimeira,2
PI,regeneracao,6
MG,bom jesus do galho,4
RS,herval,2
CE,campos sales,4
MT,conquista d'oeste,1
RN,pendencias,2
GO,itaja,3
GO,inaciolandia,3
RS,capao do leao,4
RJ,avelar,4
RO,rolim de moura,7
CE,jijoca de jericoacoara,4
MG,esmeraldas,14
PB,bananeiras,5
MA,sao benedito do rio preto,1
BA,coronel joao sa,3
TO,alvorada,6
RS,campestre da serra,2
PI,redencao do gurgueia,1
MG,alpercata,2
RS,ararica,2
SC,sao joao batista,10
PI,campo grande do piaui,1
GO,cavalcante,2
MG,manga,3
PA,barcarena,6
PA,itaituba,3
SC,treviso,1
MG,serra do salitre,1
MT,colniza,3
PR,nova cantu,3
PE,custodia,5
PI,luzilandia,3
MA,sao domingos do maranhao,2
ES,governador lindenberg,2
MS,aquidauana,4
SC,ilhota,4
SC,iomere,1
RN,goianinha,3
MG,capela nova,1
SP,igaracu do tiete,4
SP,uchoa,3
PR,colonia jordaozinho,2
SC,nova erechim,3
PR,ipora,2
BA,adustina,1
SP,itobi,7
RS,taquari,11
TO,novo jardim,1
PE,triunfo,2
RS,montauri,2
PR,porto amazonas,2
PI,fronteiras,3
RS,trindade do sul,4
SC,balneario gaivota,3
RS,monte alverne,1
BA,caraibas,1
RS,quevedos,2
RS,glorinha,2
SE,poco verde,4
PA,tucuma,4
RS,sananduva,6
MG,lagoa dourada,5
SP,itaju,3
AL,mata grande,2
RS,nova boa vista,1
SP,pedro de toledo,9
TO,xambioa,3
PR,areia branca dos assis,3
RS,sete de setembro,1
RJ,glicerio,2
PE,ouricuri,8
PR,adrianopolis,1
RS,pedro osorio,3
SC,sao cristovao do sul,1
ES,sao domingos do norte,7
SE,carmopolis,2
RS,boqueirao do leao,2
PR,santa terezinha de itaipu,3
RS,santana do livramento,20
PB,jacarau,1
PA,mojui dos campos,2
RS,manoel viana,3
BA,nova fatima,1
SP,rinopolis,3
MG,frei lagonegro,1
SC,capivari de baixo,5
SP,sete barras,5
SP,irapuru,6
SE,poco redondo,1
RS,pantano grande,3
MG,rio piracicaba,4
SE,simao dias,7
BA,seabra,6
BA,amargosa,1
MG,sao mateus de minas,1
SP,tecainda,1
MG,santa margarida,2
BA,dias d avila,1
SP,guapiara,3
SC,sao jose do cedro,5
MS,navirai,8
PE,afranio,2
MS,ribas do rio pardo,1
MG,poco fundo,8
MT,sapezal,8
GO,cumari,2
RS,ciriaco,1
PR,altonia,3
CE,hidrolandia,7
AL,boca da mata,2
SP,sales,5
CE,morada nova,9
PB,pocinhos,3
PI,canto do buriti,1
CE,flores,1
BA,dom basilio,3
SP,igarata,5
BA,itapicuru,2
RS,lavras do sul,3
PR,antonina,10
SC,maracana,2
PI,oeiras,6
CE,santana do cariri,3
MS,anaurilandia,1
MA,maioba,3
MG,jequeri,1
MG,carmo da cachoeira,4
MT,alto araguaia,5
MG,ravena,1
PR,planalto,4
GO,brazabrantes,2
PI,barras,3
RJ,varre-sai,4
SP,joanopolis,6
MT,jaciara,3
CE,brejo santo,10
PE,tabira,5
PI,novo oriente do piaui,2
SP,severinia,5
PA,capitao poco,3
RJ,laje do muriae,1
BA,itajuipe,3
SP,aparecida de sao manuel,2
RS,fortaleza dos valos,1
SP,pindorama,2
BA,andarai,1
PA,hidreletrica tucurui,3
BA,barra da estiva,7
PR,reserva,3
MG,mutum,8
SP,espigao,2
SC,presidente getulio,7
BA,iacu,4
SC,sao domingos,2
MA,benedito leite,1
MG,dom vicoso,2
MA,dom pedro,3
BA,gentio do ouro,1
BA,muritiba,1
MG,rio doce,1
RJ,anta,4
PI,baixa grande do ribeiro,1
RS,itatiba do sul,1
MA,santa rita,1
GO,santa rita do araguaia,7
CE,massape,2
RS,doutor mauricio cardoso,1
BA,cairu,1
MG,prados,3
ES,vargem grande do soturno,1
MG,imbe de minas,2
SP,itapui,7
SC,barra velha,16
